name;sex;Number
Éline;F;93
Assiya;F;92
Elissa;F;92
Irina;F;92
Vianney;M;91
Allan;M;91
Ilhan;M;91
Cameron;M;91
Yassin;M;91
Barbara;F;90
Yona;F;90
Alycia;F;90
Idrissa;M;90
Scarlett;F;90
Emil;M;90
Thibaud;M;89
Loïs;F;89
Clothilde;F;89
Riyad;M;89
Ilana;F;89
Laya;F;89
Noura;F;88
Edmond;M;88
Saïd;M;88
Mayar;F;88
Hillel;M;88
Layana;F;88
Zaynab;F;88
Nikola;M;88
Nathalie;F;87
Clélia;F;87
Tancrède;M;87
Goundo;F;87
Shaï;M;87
Élio;M;86
Elie;F;86
Haron;M;86
Anouck;F;86
Leya;F;86
Tasnime;F;85
Livio;M;85
Lilly;F;85
Josh;M;85
Naïa;F;85
Enguerrand;M;85
Layane;F;85
Emeline;F;84
Joël;M;84
Pacôme;M;84
Gaëlle;F;84
Alina;F;84
Frédéric;M;84
Gaspar;M;84
Franck;M;84
Felix;M;83
Abraham;M;83
Hélie;M;83
Zeynab;F;83
Mathilda;F;83
Perrine;F;82
Yohann;M;82
Jimmy;M;82
Marwane;M;82
Déborah;F;82
Swan;M;82
Celia;F;82
Matilda;F;82
Perla;F;82
Damian;M;82
Eliel;M;81
Célian;M;81
Eytan;M;81
Pierre-Louis;M;81
Delphine;F;81
Élias;M;81
Ela;F;81
Philippa;F;81
Coralie;F;81
Ophélie;F;81
Théodora;F;81
Raoul;M;81
Gaétan;M;81
Arielle;F;80
Ada;F;80
Anaelle;F;80
Cécilia;F;80
Yusuf;M;79
Chahine;M;79
Tiffany;F;79
Richard;M;79
Kenny;M;79
Mathurin;M;79
Assil;F;78
Erin;F;78
Malika;F;78
Denis;M;78
Nil;M;78
Kamila;F;78
Loïs;M;78
Mouhamadou;M;78
Maéva;F;78
Layla;F;78
Lubin;M;77
Manelle;F;77
Yvan;M;77
Santiago;M;76
Béatrice;F;76
Lou-Anne;F;76
Aron;M;76
Mylan;M;76
Maïssane;F;75
Joris;M;75
Kenan;M;75
Annaëlle;F;74
Yaëlle;F;74
Alyah;F;74
Liza;F;74
Abigaïl;F;74
Silas;M;74
Oliver;M;73
Amin;M;73
Seydou;M;73
Meryem;F;73
Israa;F;72
Yazid;M;72
Jibril;M;72
Imrân;M;72
Sebastian;M;72
Angélina;F;72
Roxanne;F;72
Razane;F;72
Wesley;M;71
Patrick;M;71
Youri;M;71
Divine;F;71
Blandine;F;70
Ludovic;M;70
Tatiana;F;69
Nadine;F;69
Fabien;M;69
Natalia;F;69
Alon;M;69
Abby;F;69
Liana;F;69
Michaël;M;69
Fabio;M;68
Paulin;M;68
Joanne;F;68
Ayana;F;68
Lauren;F;68
Sean;M;68
Claudia;F;68
Élisabeth;F;68
Kahina;F;67
Vasco;M;67
Mélia;F;67
Marley;M;67
Nizar;M;67
Honoré;M;66
Olympia;F;66
Akram;M;66
Katia;F;66
Sakina;F;66
Charlène;F;66
Iman;F;66
Bonnie;F;66
Shaïna;F;65
Nadir;M;65
Hadja;F;65
Tahel;F;65
Avi;M;65
Anselme;M;65
Wissem;M;64
Thierry;M;64
Natacha;F;64
Lynn;F;64
Eyden;M;64
Boris;M;64
Evann;M;64
Ezio;M;64
Abigail;F;63
Alec;M;63
Johann;M;63
Kadidja;F;63
Tesnim;F;63
Laëtitia;F;63
Izïa;F;63
Artus;M;63
Alessia;F;63
Miguel;M;63
Barnabé;M;63
Rim;F;63
Kadidiatou;F;63
Noélie;F;62
Mayline;F;62
Zineb;F;62
Tamara;F;62
Yasser;M;62
Stefan;M;62
Maé;M;62
Éden;M;62
Michelle;F;61
Yacouba;M;61
Amicie;F;61
Chayma;F;61
Alissa;F;60
Iliana;F;60
Rivka;F;60
Adja;F;60
Ranya;F;60
Inés;F;60
Angélique;F;60
Zéphyr;M;60
Noha;F;59
Adeline;F;59
Anaya;F;59
Hugues;M;59
Ziyad;M;59
Matilde;F;58
Qassim;M;58
Mohammad;M;58
Nolhan;M;58
Sékou;M;58
Suzie;F;58
Hamidou;M;58
Séléna;F;58
Jassim;M;58
Jawad;M;58
Orlane;F;57
Antony;M;57
Rodrigue;M;57
Jalil;M;57
Anes;M;57
Flavie;F;57
Lohan;M;57
Laurine;F;57
Isabella;F;57
Léo-Paul;M;57
Ayah;F;57
Andrew;M;57
Rami;M;57
Matthew;M;57
Erwann;M;57
Leïna;F;57
Eglantine;F;57
Zadig;M;57
Brieuc;M;56
Eddy;M;56
Josué;M;56
Aurélia;F;56
Ronan;M;56
Rébecca;F;56
Lancelot;M;56
Gaia;F;55
Nava;F;55
Ange;F;55
Amaya;F;55
Harouna;M;55
Aden;M;55
Leyla;F;55
Ariana;F;55
Adame;M;55
Lindsay;F;55
Mayane;F;55
Aymane;M;55
Aby;F;55
Martha;F;55
Sidy;M;54
Joey;M;54
Aliocha;M;54
Théophane;M;54
Kays;M;54
Alima;F;54
Milann;M;54
Mamoudou;M;54
Miral;F;54
Yasmina;F;54
Hakim;M;54
Fatma;F;54
Otto;M;53
Skander;M;53
Priscille;F;53
Hélios;M;53
Camilia;F;53
Solange;F;53
Imène;F;53
Aïdan;M;53
Myla;F;53
Sanaa;F;53
Lyes;M;53
Tobias;M;53
India;F;53
Antonio;M;53
Joakim;M;53
Jessim;M;53
Daphnée;F;52
Sélène;F;52
Alizée;F;52
Aylin;F;52
Ivy;F;52
Marie-Lou;F;52
Leny;M;52
Kyllian;M;52
Zeinab;F;52
Ishak;M;52
Samia;F;52
Habib;M;52
Maram;F;52
Samira;F;51
Avital;F;51
Badis;M;51
Imen;F;51
Sidra;F;51
Ramata;F;51
Ilyane;M;51
Mohamed-Lamine;M;51
Aissatou;F;51
Liyah;F;50
Andréas;M;50
Toscane;F;50
Hédi;M;50
Reda;M;50
Maimouna;F;50
Andrei;M;50
Jeremy;M;50
Ramy;M;50
Amanda;F;50
Camelia;F;50
Macéo;M;50
Marko;M;50
